127.0.0.1, 2016-10-14 15:54:38, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001491
127.0.0.1, 2016-10-14 15:54:38, GET, /PlanIt/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2016-10-14 15:54:38, GET, /PlanIt/static/js/share.js, HTTP/1.1, 200, 0.013683
127.0.0.1, 2016-10-14 15:54:39, GET, /PlanIt/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000897
127.0.0.1, 2016-10-14 15:54:39, GET, /PlanIt/static/images/background.jpg, HTTP/1.1, 200, 0.035359
127.0.0.1, 2016-10-14 15:54:39, GET, /PlanIt/static/images/gplus-32.png, HTTP/1.1, 200, 0.021925
127.0.0.1, 2016-10-14 15:54:39, GET, /PlanIt/static/images/twitter.png, HTTP/1.1, 200, 0.024798
127.0.0.1, 2016-10-14 15:54:39, GET, /PlanIt/static/images/facebook.png, HTTP/1.1, 200, 0.024498
127.0.0.1, 2016-10-14 15:56:25, GET, /PlanIt, HTTP/1.1, 303, 0.021187
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.037106
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.015404
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.029292
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/jquery.js, HTTP/1.1, 304, 0.036570
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/calendar.js, HTTP/1.1, 304, 0.040559
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 304, 0.053273
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.066236
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/web2py.js, HTTP/1.1, 304, 0.041479
